date,NO,NO2,NOXasNO2,PM2.5,wd,ws,temp,site,code,latitude,longitude,location_type,NOx
2020-01-01 00:00:00,15.24691,46.18613,69.5644,42.0,83.1,2.0,2.1,London Westminster,HORS,51.49467,-0.131931,Urban Background,35.13774767652174
2020-01-01 01:00:00,17.63596,44.73371,71.77513,48.0,96.4,1.9,1.1,London Westminster,HORS,51.49467,-0.131931,Urban Background,36.254436929782614
2020-01-01 02:00:00,18.69909,44.28266,72.95419,52.0,119.2,2.2,0.9,London Westminster,HORS,51.49467,-0.131931,Urban Background,36.850001837608694
2020-01-01 03:00:00,16.54894,41.27891,66.6536,48.0,122.7,1.6,0.7,London Westminster,HORS,51.49467,-0.131931,Urban Background,33.667490418043485
2020-01-01 04:00:00,2.75219,30.76489,34.98485,43.0,114.5,1.8,1.0,London Westminster,HORS,51.49467,-0.131931,Urban Background,17.67118461478261
2020-01-01 05:00:00,4.29312,36.58187,43.16457,41.0,123.3,1.0,1.4,London Westminster,HORS,51.49467,-0.131931,Urban Background,21.802842080217392
2020-01-01 06:00:00,4.61564,37.80066,44.87788,39.0,138.2,1.0,1.9,London Westminster,HORS,51.49467,-0.131931,Urban Background,22.668255247391304
2020-01-01 07:00:00,7.15998,41.69223,52.67072,39.0,169.9,1.0,2.0,London Westminster,HORS,51.49467,-0.131931,Urban Background,26.604512424130437
2020-01-01 08:00:00,39.08962,46.23388,106.17046,42.0,176.1,0.9,2.3,London Westminster,HORS,51.49467,-0.131931,Urban Background,53.62804551173913
2020-01-01 09:00:00,59.44432,48.79273,139.93941,41.0,162.7,0.8,2.4,London Westminster,HORS,51.49467,-0.131931,Urban Background,70.6852580476087
2020-01-01 10:00:00,56.89998,50.04111,137.28653,36.0,336.8,0.3,2.7,London Westminster,HORS,51.49467,-0.131931,Urban Background,69.34523431108695
2020-01-01 11:00:00,43.81994,48.59751,115.78715,37.0,123.0,0.8,3.2,London Westminster,HORS,51.49467,-0.131931,Urban Background,58.48556841804347
2020-01-01 12:00:00,29.844,50.6278,96.38796,38.0,116.9,0.8,3.5,London Westminster,HORS,51.49467,-0.131931,Urban Background,48.686720021739134
2020-01-01 13:00:00,9.991,43.87306,59.19238,36.0,106.7,0.9,3.7,London Westminster,HORS,51.49467,-0.131931,Urban Background,29.898693610869564
2020-01-01 14:00:00,12.85786,46.0542,65.76931,39.0,117.7,1.3,3.7,London Westminster,HORS,51.49467,-0.131931,Urban Background,33.22078946130435
2020-01-01 15:00:00,5.94157,39.968,49.07828,33.0,111.5,1.5,3.9,London Westminster,HORS,51.49467,-0.131931,Urban Background,24.789930312826087
2020-01-01 16:00:00,5.26069,42.00683,50.07311,33.0,104.8,1.4,4.0,London Westminster,HORS,51.49467,-0.131931,Urban Background,25.29241951478261
2020-01-01 17:00:00,3.68391,45.08774,50.73632,32.0,119.1,1.4,4.2,London Westminster,HORS,51.49467,-0.131931,Urban Background,25.627397836304343
2020-01-01 18:00:00,6.51494,45.77631,55.76574,34.0,156.0,1.7,4.5,London Westminster,HORS,51.49467,-0.131931,Urban Background,28.167833265869568
2020-01-01 19:00:00,2.89553,43.09102,47.53076,30.0,157.2,1.8,4.7,London Westminster,HORS,51.49467,-0.131931,Urban Background,24.008236891521737
2020-01-01 20:00:00,3.28972,46.07904,51.1232,27.0,166.2,1.9,4.9,London Westminster,HORS,51.49467,-0.131931,Urban Background,25.822811931304347
2020-01-01 21:00:00,3.18221,45.24905,50.12837,22.0,173.9,1.9,5.2,London Westminster,HORS,51.49467,-0.131931,Urban Background,25.32031027
2020-01-01 22:00:00,1.06791,30.36293,32.00036,24.0,179.9,2.1,5.5,London Westminster,HORS,51.49467,-0.131931,Urban Background,16.16367626347826
2020-01-01 23:00:00,1.17541,26.55038,28.35265,23.0,187.9,2.1,5.8,London Westminster,HORS,51.49467,-0.131931,Urban Background,14.321182855869564
2020-01-02 00:00:00,0.72155,18.13027,19.23663,17.0,186.0,1.3,3.0,London Westminster,HORS,51.49467,-0.131931,Urban Background,9.716597506521738
