date,O3,NO,NO2,NOXasNO2,SO2,CO,PM10,PM2.5,wd,ws,temp,site,code,latitude,longitude,location_type,Ox,NOx
2020-01-01 00:00:00,1.1309,12.08422,46.22164,64.75051,,0.213586,41.85,35.189,92.7,2.1,2.3,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,23.89437857255435,32.706180681304346
2020-01-01 01:00:00,1.19742,18.95739,45.01138,74.07898,,0.236887,43.0,36.25,98.3,2.1,1.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,23.31526556005435,37.41813799630435
2020-01-01 02:00:00,1.49678,12.43237,41.43513,60.49783,,0.203878,46.025,39.623,116.6,2.3,1.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,21.653779537228264,30.558115033478263
2020-01-01 03:00:00,1.59656,8.92839,39.81147,53.50148,,0.203878,48.525,41.179,131.1,1.8,0.8,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,20.881954508695653,27.024157738695653
2020-01-01 04:00:00,5.78753,2.62798,33.6273,37.65681,,0.168928,45.4,40.118,108.8,1.7,0.8,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,19.78696788192935,19.020812151304348
2020-01-01 05:00:00,6.08689,4.2452,36.80641,43.31562,,0.160189,43.85,39.387,84.3,1.1,0.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,21.53767293736413,21.879145146739127
2020-01-01 06:00:00,2.74409,5.76134,39.36885,48.20278,,0.157278,43.575,39.293,86.9,1.2,-0.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,21.21385953845109,24.347706302826086
2020-01-01 07:00:00,1.19742,10.27608,44.7414,60.49783,,0.177665,42.075,37.995,143.0,1.3,0.9,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,23.178896314402174,30.558094155652174
2020-01-01 08:00:00,2.24516,15.59942,47.89668,71.81545,,0.233003,41.775,37.194,167.6,1.1,1.5,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,25.279827323369567,36.27478035086956
2020-01-01 09:00:00,2.24516,53.16606,46.93485,128.455,,0.329117,37.625,33.821,185.7,0.6,1.5,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,24.793998626630433,64.88431433413044
2020-01-01 10:00:00,2.34495,64.08228,48.76806,147.02619,,0.361155,37.375,33.255,225.7,0.1,2.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,25.768273535461955,74.26489703608695
2020-01-01 11:00:00,3.24301,56.23203,50.31042,136.53167,,0.35533,39.45,35.142,129.8,0.6,2.6,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,26.982050152038042,68.96393785891304
2020-01-01 12:00:00,8.93076,9.66962,41.4529,56.27944,,0.19514,39.8,35.354,123.2,0.7,3.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,25.2612662625,28.42734094
2020-01-01 13:00:00,11.47528,5.5255,39.11314,47.58545,,0.180578,40.45,36.014,121.3,0.6,3.3,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,25.311139853260872,24.03588687826087
2020-01-01 14:00:00,11.72474,3.60505,36.1932,41.72087,,0.168928,41.475,36.651,107.4,1.0,3.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,23.95700699972826,21.07361126847826
2020-01-01 15:00:00,17.36259,3.13336,35.99046,40.79488,,0.142715,34.1,29.811,117.7,1.5,3.5,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,26.58367302839674,20.605881626521736
2020-01-01 16:00:00,21.50367,1.78568,34.1986,36.9366,,0.107764,26.775,23.797,127.9,1.5,3.6,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,27.683130498505435,18.657019399130434
2020-01-01 17:00:00,23.00044,0.97707,33.74081,35.23896,,0.101939,26.7,23.679,133.6,1.5,3.7,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,28.176427016847825,17.799517244347825
2020-01-01 18:00:00,14.91786,2.18998,41.19235,44.55027,,0.148539,34.975,30.071,142.1,1.4,3.9,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,28.027790785597826,22.502753689347823
2020-01-01 19:00:00,15.71614,2.32475,42.06602,45.63059,,0.145627,31.35,27.618,152.9,1.6,4.2,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,28.85550651222826,23.048431368478262
2020-01-01 20:00:00,26.04389,1.41507,35.79574,37.96548,,0.093201,23.55,20.778,166.5,1.8,4.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,30.68761004442935,19.17671125630435
2020-01-01 21:00:00,21.40388,1.24661,38.93489,40.84632,,0.122327,23.95,21.344,175.4,1.9,4.7,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,30.027167165760872,20.63185094826087
2020-01-01 22:00:00,26.49292,1.21291,32.40175,34.26153,,0.093201,22.65,20.0,183.0,1.9,5.1,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,29.190634766847825,17.305804474347823
2020-01-01 23:00:00,26.39313,0.97707,29.67675,31.1749,,0.093201,20.65,18.609,190.8,2.0,5.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,27.765908974320652,15.74672519869565
2020-01-02 00:00:00,33.19514,0.6291,20.54016,21.50476,,0.209556,15.525,14.387,195.3,1.3,3.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,26.44353588233696,10.862251376086958
2020-01-02 01:00:00,35.0578,0.53923,15.67844,16.50525,,0.190152,12.625,11.745,196.1,2.1,2.9,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,24.88948269076087,8.33695001326087
2020-01-02 02:00:00,32.23056,0.43812,14.94314,15.61492,,0.209556,12.275,11.344,194.6,1.6,3.2,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,23.149515404347824,7.887233894347826
2020-01-02 03:00:00,32.23056,0.57293,15.14736,16.02584,,0.203735,12.375,11.297,209.2,1.9,4.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,23.252668702173914,8.094797537173914
2020-01-02 04:00:00,34.32604,0.53923,13.3499,14.17671,,0.189183,12.675,11.509,212.2,2.1,4.7,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,23.359099313586956,7.160784211086956
2020-01-02 05:00:00,30.78367,0.60663,17.66393,18.59408,,0.192093,13.15,11.769,213.9,2.5,5.3,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,23.823424901766305,9.392039577391305
2020-01-02 06:00:00,23.69894,1.38177,26.23473,28.35341,,0.197914,11.5,10.377,212.8,3.0,5.7,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,24.723158394836958,14.321571116086956
2020-01-02 07:00:00,23.79872,2.0558,35.26874,38.42092,,0.197914,8.4,7.288,218.6,4.0,6.1,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,29.334615158695648,19.40676435869565
2020-01-02 08:00:00,31.73163,1.75249,29.15911,31.84622,,0.189183,7.3,5.637,216.0,4.1,6.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,30.088612165353258,16.085823523478258
2020-01-02 09:00:00,32.18066,2.42652,27.71469,31.4353,,0.200825,6.25,4.552,208.8,3.4,7.3,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,29.57638164755435,15.878270656304348
2020-01-02 10:00:00,38.86626,2.56133,23.34743,27.27475,,0.192093,4.95,3.325,221.2,4.2,8.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,30.60668889538043,13.776739999130433
2020-01-02 11:00:00,44.25465,2.22431,19.70363,23.11419,,0.165899,5.225,3.113,218.6,4.8,8.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,31.374491364538045,11.675202943913044
2020-01-02 12:00:00,47.14841,1.78619,18.11535,20.85414,,0.148436,6.075,3.491,216.9,5.0,8.5,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,31.972998025407605,10.533624964782607
2020-01-02 13:00:00,46.84906,1.17956,14.73086,16.53949,,0.148436,9.925,5.142,223.4,5.2,8.3,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,30.118558586684784,8.354254700434783
2020-01-02 15:00:00,55.63014,0.67403,15.60871,16.64222,1.38666,0.097016,11.525,5.472,225.5,6.0,8.6,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,34.812559792663045,8.406131383913044
2020-01-02 16:00:00,57.2267,0.60663,16.37981,17.30996,0.73411,0.107689,10.05,5.259,230.9,5.7,8.7,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,35.97488393288043,8.743419399130435
2020-01-02 17:00:00,58.02498,0.50553,17.97305,18.74818,0.73411,0.130973,7.425,4.41,231.0,6.1,8.9,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,37.16606072364131,9.469876827391305
2020-01-02 18:00:00,58.82326,0.40442,18.64173,19.26183,0.57098,0.145525,7.05,4.08,229.4,6.0,9.3,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,37.890234218749995,9.729323214999999
2020-01-02 19:00:00,62.36563,0.43812,15.19997,15.87175,0.97882,0.136794,7.1,4.41,232.2,5.7,9.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,37.86649979252717,8.016960960652174
2020-01-02 20:00:00,64.86025,0.33702,12.52993,13.04668,0.73411,0.130973,8.5,5.165,238.5,5.8,9.6,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,37.72539136453804,6.589998588913043
2020-01-02 21:00:00,67.50455,0.33702,9.24257,9.75933,0.89725,0.119331,8.0,5.0,241.7,5.6,10.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,37.344923711548915,4.929524467173914
2020-01-02 22:00:00,65.95789,0.30332,9.19152,9.6566,0.89725,0.122241,11.025,6.297,236.2,5.6,10.3,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,36.570457806385875,4.877638018260869
2020-01-02 23:00:00,67.35488,0.30332,7.03419,7.49927,0.73411,0.119331,10.975,6.226,248.9,5.4,10.5,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,36.15700213586956,3.7879518758695654
2020-01-03 00:00:00,66.989,0.22466,6.09873,6.4432,3.91473,0.116455,9.1,5.825,224.6,5.5,10.5,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,35.50738436793478,3.2545207254347823
2020-01-03 01:00:00,63.26369,0.26959,7.33218,7.74555,4.40407,0.116455,7.225,4.811,225.0,5.6,10.8,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,34.32712781671195,3.9123453310869567
2020-01-03 02:00:00,64.81036,0.2022,6.06463,6.37466,4.48563,0.113543,8.45,5.259,234.8,5.5,10.8,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,34.43556223641304,3.2199012489130436
2020-01-03 03:00:00,66.45681,0.2022,4.83082,5.14085,4.81186,0.113543,4.625,3.09,252.4,4.8,10.8,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,34.60933877975543,2.5966930891304347
2020-01-03 04:00:00,69.89939,0.26959,6.98946,7.40283,4.40407,0.113543,2.175,1.297,262.7,4.2,10.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,37.36611049578804,3.7392344789130436
2020-01-03 05:00:00,68.95144,0.23589,8.12071,8.4824,4.64874,0.110632,1.85,0.967,262.3,3.7,9.8,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,37.47864766086957,4.284538040869566
2020-01-03 06:00:00,59.27229,0.50549,14.49326,15.26833,4.07785,0.131011,1.525,0.92,256.2,3.4,9.0,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,36.01216453247282,7.712173659347826
2020-01-03 07:00:00,52.33723,0.47179,20.14846,20.87186,4.24096,0.154302,2.35,1.321,272.9,3.9,9.6,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,35.511652746875,10.542563705
2020-01-10 12:00:00,55.72992,3.60385,18.46945,23.99528,3.50354,0.099191,5.675,3.09,311.9,2.4,6.4,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,36.305844198913036,12.120261623913043
2020-01-10 13:00:00,51.98799,3.26704,21.31301,26.32241,2.60729,0.105026,7.2,3.986,302.5,2.4,6.5,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,35.93082309089674,13.295709161521739
2020-01-10 14:00:00,52.5368,2.69447,21.51867,25.65013,2.28137,0.105026,8.6,4.693,300.3,2.1,5.9,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,36.300362085869565,12.956134350869565
2020-01-10 15:00:00,46.20046,2.86287,27.10413,31.49381,2.03694,0.180877,7.825,4.198,267.3,1.7,4.1,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,36.054441919836954,15.907824566086957
2020-01-10 16:00:00,36.6211,1.78509,36.04838,38.78548,2.36285,0.151703,8.35,3.892,251.1,2.1,2.8,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,35.93525142092391,19.590902407173914
2020-01-10 17:00:00,19.15872,3.60385,53.68666,59.21249,2.36285,0.224638,8.775,5.519,255.7,2.1,2.8,London N. Kensington,KC1,51.52105,-0.213492,Urban Background,36.39161670652174,29.90878063152174
