date,O3,NO,NO2,NOXasNO2,SO2,PM2.5,NV2.5,V2.5,wd,ws,temp,AT2.5,AP2.5,site,code,latitude,longitude,location_type,Ox,NOx
2015-01-01 02:00:00,35.48105,5.41983,26.29018,34.60047,,6.8,2.6,4.2,220.7,5.5,8.6,9.5,1010.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,29.359997942028983,16.84898100869565
2015-01-01 03:00:00,33.5572,4.39237,25.17854,31.91341,,6.3,3.9,2.4,223.8,6.3,9.4,9.6,1010.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,27.92088092753623,15.54049052753623
2015-01-01 04:00:00,32.00754,2.72785,26.66694,30.84958,,5.1,3.0,2.1,223.0,6.9,10.0,9.7,1009.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,27.922492347826086,15.022435014492753
2015-01-01 05:00:00,33.77124,2.23173,22.22086,25.6428,,6.8,4.1,2.7,219.8,6.6,9.8,9.8,1008.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,26.58050469565217,12.486951095652172
2015-01-01 06:00:00,42.16016,1.34584,16.46854,18.53213,,7.1,4.8,2.3,216.9,6.2,9.4,10.1,1008.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,27.69420428985507,9.024356823188405
2015-01-01 07:00:00,37.67133,3.64866,23.46351,29.05805,,4.8,4.4,0.4,218.6,7.1,9.6,10.4,1008.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,29.0056632173913,14.150042017391304
2015-01-01 08:00:00,37.93826,3.86102,23.1379,29.05805,,6.0,3.9,2.1,222.1,7.6,10.2,10.5,1007.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,28.97167263768116,14.150046237681158
2015-01-01 09:00:00,40.34357,2.72722,22.07694,26.25863,,5.2,3.0,2.2,220.4,8.1,10.7,11.2,1007.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,29.577509246376806,12.786834179710143
2015-01-01 10:00:00,46.32768,2.26697,22.16683,25.6428,,4.4,0.8,3.6,213.5,7.9,10.9,11.9,1007.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,32.413866434782605,12.486953368115943
2015-01-01 11:00:00,53.64891,1.94828,19.46399,22.45132,,4.5,-0.6,5.1,209.4,7.6,10.8,11.9,1005.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,34.51427486956521,10.93283260289855
2015-01-01 12:00:00,52.41906,2.51487,22.06643,25.9225,,8.2,4.1,4.1,207.3,8.7,11.1,10.9,1004.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,35.20762,12.6231616
2015-01-01 13:00:00,48.14427,3.08208,26.34756,31.07334,,2.9,0.5,2.4,214.6,8.7,11.6,11.1,1002.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,35.29744217391304,15.131402573913043
2015-01-01 14:00:00,53.38148,2.62151,19.88761,23.90721,,4.1,2.5,1.6,216.6,8.0,11.8,11.0,1001.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,34.595758724637676,11.64179552463768
2015-01-01 15:00:00,49.26685,2.79863,23.03128,27.32245,,2.9,1.4,1.5,212.6,8.3,12.1,11.2,1000.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,34.20642866666667,13.304875733333333
2015-01-01 16:00:00,50.12151,2.51518,21.28182,25.13838,,-0.4,-1.0,0.6,212.7,8.9,12.3,11.2,999.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,33.75335904347826,12.241322110144926
2015-01-01 17:00:00,49.90797,2.47963,20.83286,24.63491,,-1.0,-0.6,-0.4,212.8,9.2,12.2,11.3,999.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,33.43508304347826,11.996154110144927
2015-01-01 18:00:00,50.8694,2.01907,18.85151,21.94737,,2.8,0.4,2.4,218.2,8.9,12.2,11.6,998.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,32.918919072463765,10.687438005797102
2015-01-01 19:00:00,53.91583,1.09794,13.7131,15.39658,,2.5,1.0,1.5,220.2,8.6,12.4,11.9,998.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,31.83840414492753,7.497478678260869
2015-01-01 20:00:00,54.50357,0.8859,12.863,14.22135,,3.9,2.5,1.4,229.6,8.2,13.0,11.9,998.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,31.69872107246377,6.925193739130434
2015-01-01 21:00:00,51.51151,1.91274,15.99089,18.92371,,3.6,2.6,1.0,241.4,7.9,13.1,12.0,998.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,31.825572840579706,9.215047373913043
2015-01-01 22:00:00,56.42742,0.60182,10.10661,11.02939,,0.5,0.5,0.0,240.7,6.5,12.9,12.1,998.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,31.25427565217391,5.370838585507246
2015-01-01 23:00:00,58.72497,2.01907,11.01313,14.10899,,3.5,5.1,-1.6,253.9,5.3,12.1,10.4,1000.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,32.76790147826087,6.8704877449275354
2015-01-02 00:00:00,67.96157,1.08598,7.13618,8.80133,,4.6,5.6,-1.0,273.5,6.5,9.8,8.8,1002.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,35.19040872463768,4.285874457971015
2015-01-02 01:00:00,70.95645,0.42533,5.09108,5.74324,,5.8,6.1,-0.3,277.0,5.4,8.5,7.6,1003.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,35.59214460869565,2.7967143420289853
2015-01-02 02:00:00,71.82973,0.28376,4.82333,5.25842,,3.9,3.8,0.1,276.2,5.0,7.8,6.7,1004.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,35.86929266666666,2.5606261333333333
2015-01-02 03:00:00,73.86235,0.31869,5.10542,5.59406,,3.6,4.5,-0.9,273.5,4.5,7.2,5.7,1005.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,36.95521423188406,2.724072765217391
2015-01-02 04:00:00,71.08135,0.95668,7.25985,8.72674,,5.4,5.1,0.3,258.6,4.4,6.3,5.5,1007.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,36.70652797101449,4.2495523710144925
2015-01-02 05:00:00,64.34187,1.98383,13.01313,16.05496,,4.7,5.4,-0.7,244.0,4.5,5.6,5.8,1008.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,36.36303452173913,7.818088255072463
2015-01-02 06:00:00,58.245,3.08208,19.10492,23.83071,,4.3,6.5,-2.2,235.6,4.7,5.2,5.8,1009.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,36.48426539130435,11.604551791304347
2015-01-02 08:00:00,43.42992,10.27276,37.3363,53.08765,,6.9,7.6,-0.7,220.8,4.5,4.5,6.2,1011.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,38.448450782608695,25.851482249275364
2015-01-02 09:00:00,42.78781,16.1173,39.39511,64.10796,,4.5,6.6,-2.1,227.2,4.4,5.1,6.5,1012.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,39.1513504057971,31.217956405797104
2015-01-02 10:00:00,41.45019,12.64638,37.3889,56.77973,,6.5,6.9,-0.4,256.1,4.8,6.4,7.4,1013.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,37.55019069565218,27.64939909565217
2015-01-02 11:00:00,44.49912,14.13378,38.24092,59.91241,,5.0,7.8,-2.8,276.4,6.2,7.3,7.4,1014.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,39.387921391304346,29.17488779130435
2015-01-02 12:00:00,49.04582,9.95377,32.17542,47.43765,,8.4,8.3,0.1,282.9,6.6,7.5,7.6,1014.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,38.55607994202899,23.10017887536232
2015-01-02 13:00:00,50.38244,15.30281,31.63753,55.10152,,6.4,8.7,-2.3,280.7,5.7,7.1,8.0,1015.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,38.917906898550726,26.832199698550724
2015-01-02 14:00:00,48.61775,6.6952,31.91341,42.17923,,9.3,8.8,0.5,228.0,2.8,6.2,7.3,1016.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,38.22872646376811,20.539525797101447
2015-01-02 15:00:00,41.772,8.89138,42.30737,55.94063,,9.9,8.4,1.5,223.1,3.9,5.4,6.9,1016.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,40.09544973913043,27.2407468057971
2015-01-02 16:00:00,26.47496,11.26499,56.28918,73.56192,,12.6,11.3,1.3,247.3,4.3,4.5,6.6,1016.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,39.76536463768116,35.82157583768115
2015-01-02 17:00:00,15.02962,26.99251,73.51411,114.90204,,12.1,11.1,1.0,258.2,5.6,4.3,6.1,1016.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,42.81199797101449,55.95258277101449
2015-01-02 18:00:00,16.74093,30.60594,64.9528,111.88125,,11.9,12.3,-0.4,269.2,6.2,4.2,5.9,1016.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,39.441623565217384,54.48162476521739
2015-01-02 19:00:00,10.1621,31.03095,69.05607,116.6362,,11.1,10.7,0.4,265.7,5.6,4.1,5.6,1016.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,38.36961698550725,56.79707965217391
2015-01-02 20:00:00,12.51504,26.21326,59.99656,100.18966,,11.8,11.5,0.3,252.1,4.7,3.8,5.5,,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,35.05606817391304,48.78828364057971
2015-01-02 21:00:00,10.00145,26.31959,63.74936,104.1055,,12.6,10.8,1.8,251.6,4.9,3.6,5.8,1015.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,35.710509942028985,50.69512714202899
2015-01-02 22:00:00,4.59959,42.79175,70.60233,136.21542,,10.7,9.1,1.6,239.4,5.0,3.6,5.8,1014.0,Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,36.52674037681159,66.33143837681158
